system:index,BuiltUp,Curvature,DistRiver,Elevation,Flood,FlowAccum,HAND,LandCover,NDVI,NDWI,Slope,random,.geo
3731,0.0,0.29614925,976.72925,3.0,1,0.011533667,2.5205765,90.0,0.1790393,-0.19831815,0.0,0.28516053143259246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.69701407399701,9.22719446735137]}"
3734,0.0,0.25274563,0.0,13.770564,1,316.3766,0.14140639,30.0,0.5928553,-0.605507,0.5076554,0.11891289293343899,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.91924930768953,8.771963966701119]}"
3735,0.0,5.0870824,30.0,0.0,1,0.04981085,1.7214727,80.0,-0.41438848,0.4443686,0.0,0.2686164977085068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.93319891944728,9.317278122782957]}"
3736,0.0,-0.6698818,2059.7573,21.657143,1,0.050020315,0.7184892,30.0,0.64974874,-0.6386324,5.3627944,0.4545572026799999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.04741405878686,8.56787348890529]}"
3737,0.0,1.160357,2147.0444,3.0,1,0.026259325,1.6959721,90.0,0.47471994,-0.46254316,0.0,0.3833872715349831,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.68454993632373,9.136051019926837]}"
3738,0.0,-0.20114374,0.0,5.1191626,1,522.46674,0.5651761,30.0,0.7570519,-0.63298094,0.30934167,0.5098410003954602,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.81933667445814,9.217711602123027]}"
3739,54.88151,1.1041145,660.68146,10.996631,1,0.022911511,0.9505581,30.0,0.5582499,-0.5521134,0.057937507,0.22340063090071138,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.84446848415051,8.870087660742602]}"
3740,0.0,-0.14682984,5431.3257,3.0,1,0.019962253,0.992116,90.0,0.42828196,-0.46127647,1.7830154,0.6974233246675243,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.63895956760894,9.138847458012656]}"
3741,0.0,-1.2560787,2902.4128,4.989651,1,0.052324362,1.7787538,30.0,0.7694722,-0.67666936,0.33984104,0.07807365985096526,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.86598712304527,9.198881316750048]}"
3742,0.0,1.0349555,161.55495,3.5,1,0.18199562,0.144169,30.0,0.56971085,-0.49298844,0.08536312,0.27528650394875054,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.72734033416961,9.099338263318494]}"
