system:index,BuiltUp,Curvature,DistRiver,Elevation,Flood,FlowAccum,HAND,LandCover,NDVI,NDWI,Slope,random,.geo
1949,0.0,-1.6704826,3415.9187,12.368239,0,0.027256163,0.36869887,30.0,0.76960045,-0.64744985,2.1079602,0.38922751964528257,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.81497678268686,8.732860553993474]}"
1950,0.0,3.9960098,5706.7065,109.83435,0,0.016683297,72.20897,30.0,0.43293774,-0.502045,18.274948,0.3209513183989361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.66912748215213,8.764621185117548]}"
1951,0.0,-0.0046525,108.16654,5.542401,0,0.010024365,0.6520271,30.0,0.5200912,-0.5235647,0.64972955,0.7947949200816538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.82689086646896,9.178081202523723]}"
1952,0.0,-4.1218376,7241.0083,39.306805,0,0.03627518,7.9031677,30.0,0.40468478,-0.5141015,2.1586392,0.1737376350823412,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.9317545721972,8.972167610060817]}"
1953,290.42914,-2.5272503,5836.0605,25.505774,0,0.016129123,9.870561,30.0,0.37233055,-0.4765235,0.47401717,0.36758972519387323,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.89700742483073,9.155665892126136]}"
1954,0.0,-0.3958435,4208.7764,51.347794,0,0.008446177,23.72296,30.0,0.7288218,-0.6873367,1.7105714,0.49707367988222584,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.91528856379216,8.935037896378763]}"
1955,0.0,-8.398224,1390228.5,95.81502,0,0.027485417,49.2013,30.0,0.42889327,-0.4351577,20.693829,0.5339264287185654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.59747596974452,8.815753466821315]}"
1956,15.890823,-3.8596153,1390228.5,61.463474,0,0.022612276,5.8610253,30.0,0.39271137,-0.4646635,12.081258,0.8212497481641107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.4933392465418,8.868274245586587]}"
1957,0.0,-10.427597,1390228.5,189.78589,0,0.016250148,39.643295,30.0,0.79857254,-0.69802845,13.143799,0.581580688623299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-76.1897962410537,8.422856413227962]}"
1958,0.0,-0.44086838,8466.806,34.276577,0,0.017560422,3.1919954,30.0,0.5760518,-0.6002191,0.6306556,0.06734826769462232,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.52888331040332,8.921137548729341]}"
1959,5.5897336,2.3762665,1390228.5,95.26791,0,0.06667424,11.742068,30.0,0.40554023,-0.46476945,5.8667364,0.09775381937526373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.44897817459922,9.178748159049974]}"
1960,0.0,0.98347473,5730.314,33.78045,0,0.112200074,6.203599,30.0,0.6950745,-0.61860824,1.3669809,0.5633107994824158,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.67811291411626,8.756193694177817]}"
